,tax_id,CC11CM0,CC11CM1,CC11CM2,CC11CM3,CC11CM4,CC11CM5,CC11CM6,CC11CM7,CC11CM8,CC11CM9,CC11CM10,CC11CM11,CC11CM12,CC11CM13,CC11CM14,CC11CM15,CC11CM16,CC11CM17,CC11CM18,CC11CM19,CC11CM20,CC11CM21,CC11CM22,CC11CM23,CC11CM24,CC11CM25,CC11CM26,CC11CM27,CC11CM28,CC11CM29,CC11CM30,CC11CM31,CC11CM32,CC11CM33,CC11CM34,CC11CM35,CC11CM36,CC11CM37,CC11CM38,CC11CM39,CC11CM40,CC11CM41,CC11CM42,CC11CM43,CC11CM44,CC11CM45,CC11CM46,CC11CM47,CC11CM48,CC11CM49,CC11CM50,CC11CM51,CC11CM52,CC11CM53,CC11CM54,CC11CM55,CC11CM56,CC11CM57,CC11CM58,CC11CM59,CC11CM60,CC11CM61,CC11CM62,CC11CM63,CC11CM64,CC11CM65,CC11CM66,CC11CM67,CC11CM68,CC11CM69,CC11CM70,CC11CM71,CC11CM72,CC11CM73,CC11CM74,CC11CM75,CC11CM76,CC11CM77,CC11CM78,CC11CM79,CC11CM80,CC11CM81,CC11CM82,CC11CM83,CC11CM84,CC11CM85,CC11CM86,CC11CM87,CC11CM88,CC11CM89,CC11CM90,CC11CM91,CC11CM92,CC11CM93,CC11CM94,CC11CM95,CC11CM96,CC11CM97,CC11CM98,CC11CM99
ARMK01000003.40.1327,1278306,1483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1813,0,0,0,0,0,0,0,0,0,0,0,780,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,774,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AX553954.109220.110725,1678,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AY974071.1.1440,328813,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBXH010000027.2899.4366,702444,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP006018.139472.140984,1341694,692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP007034.620467.622007,880074,2475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1832,0,0,0,0,0,0,0,0,0,0,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933,0,0,0,0,0,0,0,0,1889,0,2582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EU541439.1.1500,292800,102,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,53,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EU728750.1.1517,907,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJ611794.1.1404,592978,1954,0,0,2181,0,313,1889,0,0,0,0,0,0,799,0,0,0,0,0,0,18,0,0,0,0,0,0,0,471,0,0,0,606,0,0,1272,0,0,0,0,0,239,0,0,0,0,876,0,0,0,557,0,0,0,2193,0,1388,558,0,0,699,0,1538,785,0,0,0,0,0,816,0,1086,0,0,0,0,0,732,1411,0,0,172,0,0,0,0,0,0,0,0,1113,0,2268,369,596,0,0,0,0,569
GM884497.1.1501,266833,755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1465,0,0,0,0,0,0,0,0,0,0,607,0,0,0,882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HQ457026.1.1378,853,520,0,0,0,3086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3905,0,0,0,9391,0,0,0,6842,0,0,0,0,828,0,0,0,0,0,0,0,4605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4670,0,0,0,0,0,0,0,0,3305,0,0,0,0,0,0,0,0,5526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HQ646364.1.1477,154288,35,0,0,0,50,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,19,0,0,0,0,174,0,0,0,0,43,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,57,0,0,4,0,0,0,0,0,0,110,0,0,0,0,0,0,26,47,0,0,99,29,0,22,0,0,0,54,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
JF514884.1.1259,270498,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
JGEO01000053.89.1603,816,1296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JN713210.1.1526,218538,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JQ346729.1.1360,172900,5,0,0,0,0,0,0,2,1,3,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,5,2,0,1,0,0,1,3,1,0,2,0,0,0,2,0,0,0,2,7,2,0,0,0,1,0,4,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,2,8,0,0,0,0
JTBE01000011.462286.463839,562,4050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L09175.1.1517,1509,289,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK028559.1490042.1491555,35623,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LN624803.1.1410,539813,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_041627.1,762982,85,0,0,0,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_043017.1,291645,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656,0,0,540,0,0,0,4819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_074634.1,515619,21,6,18,0,21,0,23,38,0,0,0,31,34,0,76,0,58,0,8,10,0,13,0,46,28,42,38,7,0,16,0,63,43,26,0,141,0,60,19,13,0,0,63,0,26,68,3,28,47,7,0,51,31,21,0,0,55,80,0,7,36,73,54,42,0,58,64,66,0,32,52,0,49,0,11,0,0,0,49,0,45,78,74,30,0,22,50,39,0,104,0,0,0,36,50,42,98,175,19,0
NR_102880.1,1511,156,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
NR_104842.1,39495,3041,0,0,0,0,1339,0,0,0,0,0,0,0,0,0,1013,0,0,0,0,0,0,1112,0,0,0,0,0,0,0,352,0,0,0,0,0,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,3114,0,0,1886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070,0,131,0,0,0,0,0,0,1559,0,0,0,0
NR_104846.1,745368,2284,2584,769,1240,0,521,1065,792,694,1166,305,613,1168,787,2578,903,0,714,1972,101,0,18,1761,1320,2119,320,1249,1698,1296,3004,1449,2539,248,913,1192,3102,1508,1304,0,2407,474,499,1432,1611,165,644,550,0,0,987,1140,1071,0,506,607,1896,315,1423,2162,613,0,2751,3241,61,1688,1574,1185,704,0,1171,706,3312,1355,2007,0,604,164,3,1705,1233,0,4706,1081,0,663,2531,3963,685,2238,1306,1093,0,2871,0,3133,2476,0,0,0,1608
NR_113029.1,33029,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0
NR_114385.1,375175,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_116046.1,55207,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_117139.2,649756,1269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,759,0,0,0,0,0,1268,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_118219.1,1033732,1777,0,0,0,0,0,0,1393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_118554.1,1297617,5,0,0,0,0,0,0,0,0,0,9,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,21,0,0,0,0,0,0,0,0,0,0,0,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,17,0,0,0,28,0,0,0,0,13,0,0,0,0,4,0
NR_119286.1,69824,384,0,0,0,0,0,0,176,0,294,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,0,0,0,193,0,0,167,0,0,265,0,30,87,0,0,0,0,0,0,0,0,0,0,0,0,442,0,0,0,0,0,0,0,0,331,0,552,0,0
NR_119290.1,1356,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_133762.1,1096246,4,0,16,0,0,0,0,12,6,1,0,5,0,0,0,4,0,9,4,0,0,3,1,2,2,0,0,0,0,3,8,0,2,8,12,11,0,6,0,0,1,4,0,0,0,0,0,13,6,0,3,13,2,4,6,6,2,13,0,11,21,0,5,1,0,0,4,0,2,7,0,2,9,0,0,1,11,0,1,0,1,7,0,4,1,0,0,20,0,10,0,6,0,4,0,0,8,7,1,0
AAVP02000029.271.1782,411460,0,1118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532,0,0,0,0,0,1926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043,0,0,0,0,0,2309,0,0,0,0,0,0,0,0,0,0,0
AAXA02000006.102304.103822,411461,0,854,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2888,0,0,0,0,0,0,0,519,0,0,0,0,0,0,0,0,565,0,0,0,0,2170,0,0,0,2556,0,0,0,0,0,0,0,0,0,0,0,0
AB260026.1.1492,387090,0,516,0,0,0,0,0,0,0,0,0,0,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,702,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
